Keyphrase,Count
mental illness,5
human resource,5
gender bias,5
social media,5
emotional intelligence,4
participants,4
setting,4
letters recommendation,4
interviews conducted,3
employee innovation,3
child maltreatment,3
peer production,3
new patient,3
men women,3
systematic review,3
human capital,3
physicians color,3
materials,3
coping strategies,3
implicit bias,3
physician faculty,3
job insecurity,2
military personnel,2
regression analyses,2
preference selfmanagement,2
clinical trial,2
findings,2
industry sponsors,2
mediating effect,2
persongroup fit,2
fit adaptive,2
adaptive performance,2
female students,2
female,2
main findings,2
main,2
pilot training,2
training recruitment,2
role models,2
qualified,2
candidate,2
contribution,2
labor market,2
impression management,2
maltreatment disparities,2
african american,2
significant differences,2
production sites,2
technical soft,2
patient referrals,2
job seekers,2
gender roles,2
gender differences,2
gender dyads,2
surgical trainees,2
social ties,2
mental health,2
job applicants,2
labor investment,2
creativity intention,2
personality traits,2
statement,2
aims identify,2
identify factors,2
factors influencing,2
green training,2
higher levels,2
resident candidates,2
gendered differences,2
differences exist,2
retrospective review,2
workplace discrimination,2
women surgery,2
external validity,2
leadership roles,2
united states,2
individual organizational,2
cfo board,2
interview techniques,2
financial reporting,2
migrant minority,2
comparison autochthonous,2
objectives,2
migrant autochthonous,2
language main,2
main stressor,2
stressor impedes,2
impedes functioning,2
nurseclient relationship,2
share similar,2
similar coping,2
migrant,2
themes emerged,2
male female,2
earnings management,2
female representation,2
scores male,2
faculty,2
certain racialethnic,2
racialethnic groups,2
trainees faculty,2
functional connectivity,2
possession violent,2
crime arrests,2
selection processes,2
social capital,2
helping behavior,2
pediatric faculty,2
unconscious racial,2
recruitment retention,2
completed survey,2
outside directors,2
vegetable consumption,2
perceived attention,2
high school,2
dairy milk,1
machine learning,1
ethnic discrimination,1
facial appearance,1
turnover intention,1
milk pba,1
milk consumption,1
female earnings,1
automated agents,1
examine legal,1
sensitive features,1
legal framework,1
support vector,1
vector machine,1
machine fictitious,1
fictitious scenario,1
scenario discuss,1
discuss resulting,1
resulting challenges,1
innovation performance,1
persistent innovation,1
tastebased discrimination,1
hire altruistic,1
leading journals,1
public firms,1
differences journals,1
ofdi innovation,1
product market,1
market competition,1
treatment early,1
personnel seek,1
illness wait,1
wait reach,1
reach crisis,1
crisis point,1
point effective,1
effective selective,1
aims,1
aimed examine,1
